Rank,Player,Age,Team,Pos,RBS,AST,STL,BLK,PTS
406,Jaylin Williams,21,OKC,C,3.4,1.6,0.4,0.4,4
407,Jules Bernard,24,WAS,SG,1.4,0.8,0.2,0.1,3.9
408,Chris Duarte,26,SAC,SF,1.8,0.7,0.5,0.1,3.9
409,DeAndre Jordan,35,DEN,C,4.4,0.7,0.2,0.4,3.9
410,Sidy Cissoko,19,SAS,SF,1.8,0.8,0.6,0.3,3.8
411,Anthony Gill,31,WAS,PF,1.9,0.7,0.3,0.2,3.8
412,KJ Martin,23,2TM,SF,2.2,0.9,0.4,0.2,3.7
413,Keita Bates-Diop,28,2TM,SF,2.1,0.7,0.5,0.4,3.7
414,Oshae Brissett,25,BOS,SF,2.9,0.8,0.3,0.1,3.7
415,Jamal Cain,24,MIA,PF,1.4,0.4,0.4,0.2,3.7
416,Drew Peterson,24,BOS,PF,0.3,0.3,0.7,0,3.7
417,T.J. Warren,30,MIN,SF,2,0.8,0.4,0.1,3.7
418,James Bouknight,23,CHO,SG,0.6,0.4,0.1,0.1,3.6
419,Collin Gillespie,24,DEN,PG,0.9,1.1,0.5,0,3.6
420,Gui Santos,21,GSW,PF,2.1,0.6,0.2,0.1,3.6
421,Jarace Walker,20,IND,PF,1.9,1.2,0.5,0.3,3.6
422,Lindy Waters III,26,OKC,SG,1.1,0.6,0.1,0.2,3.6
423,Théo Maledon,22,2TM,PG,1.4,1.6,0.4,0,3.5
424,Onuralp Bitim,24,CHI,SG,1.4,0.6,0.1,0.1,3.5
425,Jordan McLaughlin,27,MIN,PG,1.3,2,0.6,0.1,3.5
426,Marques Bolden,25,2TM,C,3.1,0.4,0.3,0.6,3.4
427,Ryan Rollins,21,2TM,PG,1,1.1,0.8,0.2,3.4
428,Yuta Watanabe,29,2TM,SF,1.6,0.4,0.4,0.2,3.4
429,Buddy Boeheim,24,DET,SF,1,0.3,0,0.1,3.4
430,Moses Brown,24,POR,C,3.9,0.3,0.2,0.3,3.4
431,Wenyen Gabriel,26,MEM,PF,5,0.6,0.4,0.4,3.4
432,Nassir Little,23,PHO,SF,1.7,0.5,0.2,0.2,3.4
433,Jalen McDaniels,26,TOR,SF,1.6,0.7,0.4,0.1,3.4
434,Jaden Springer,21,2TM,SG,1.6,0.9,0.7,0.3,3.3
435,Charles Bassey,23,SAS,C,4,1.1,0.4,0.9,3.3
436,Micah Potter,25,UTA,PF,2.7,0.4,0.3,0.4,3.3
437,Dwight Powell,32,DAL,C,3.4,1.3,0.4,0.3,3.3
438,Terquavion Smith,21,PHI,PG,0.3,0.8,0.5,0,3.3
439,Garrett Temple,37,TOR,SG,1.7,1,0.4,0.1,3.3
440,Tristan Thompson,32,CLE,C,3.6,1,0.2,0.3,3.3
441,Oscar Tshiebwe,24,IND,PF,2,0.3,0.3,0.1,3.3
442,Kira Lewis Jr.,22,3TM,PG,0.9,1.3,0.3,0.1,3.2
443,A.J. Lawson,23,DAL,SG,1.2,0.5,0.2,0.1,3.2
444,Boban Marjanović,35,HOU,C,2.3,0.4,0.1,0.1,3.2
445,Zeke Nnaji,23,DEN,PF,2.2,0.6,0.3,0.7,3.2
446,Ish Smith,35,CHO,PG,1.8,3.4,0.4,0.1,3.2
447,JT Thor,21,CHO,PF,2.3,0.5,0.2,0.4,3.2
448,Brandon Williams,24,DAL,PG,0.8,1,0.1,0.1,3.2
449,Wesley Matthews,37,ATL,SG,1.5,0.6,0.4,0.3,3.1
450,Dalen Terry,21,CHI,SG,1.9,1.4,0.5,0.3,3.1
451,Gabe Vincent,27,LAL,PG,0.8,1.9,0.8,0,3.1
452,Mike Muscala,32,3TM,C,2.4,0.7,0.2,0.2,3
453,Johnny Davis,21,WAS,SG,1.4,0.6,0.4,0.2,3
454,Saben Lee,24,PHO,PG,1.3,1.3,0.3,0.1,3
455,Olivier-Maxence Prosper,21,DAL,PF,2,0.6,0.2,0.1,3
456,Trevelin Queen,26,ORL,SG,1.4,1.3,0.5,0.4,2.9
457,Jeremiah Robinson-Earl,23,NOP,PF,1.9,0.5,0.3,0.1,2.9
458,Jeenathan Williams,24,HOU,SG,1,0.3,0.2,0,2.9
459,D.J. Carton,23,TOR,SG,1,0.8,0.3,0,2.8
460,Henri Drell,23,CHI,SF,1,1,0.5,0.3,2.8
461,Orlando Robinson,23,MIA,C,2.3,0.9,0.2,0.2,2.8
462,Emoni Bates,20,CLE,SF,0.9,0.7,0.1,0.1,2.7
463,Leaky Black,24,CHO,SF,1.8,0.9,0.3,0.4,2.7
464,Damian Jones,28,CLE,C,1.6,0.4,0.2,0.3,2.7
465,Malik Williams,25,TOR,C,5.4,0.3,0.4,0.6,2.7
466,Timmy Allen,24,MEM,SF,3.4,1,0.8,0,2.6
467,Moussa Diabaté,22,LAC,C,2.2,0.4,0.5,0.1,2.6
468,Otto Porter Jr.,30,TOR,SF,1.9,0.5,0.3,0.3,2.6
469,Alex Fudge,20,2TM,SF,0.8,0,0.5,0,2.5
470,Dylan Windler,27,3TM,SF,0.9,0.6,0.1,0,2.5
471,Greg Brown III,22,DAL,PF,1.5,0.7,0,0.7,2.5
472,Furkan Korkmaz,26,PHI,SG,0.9,0.7,0.4,0.1,2.5
473,Alex Len,30,SAC,C,2.7,1,0.2,0.7,2.5
474,Markieff Morris,34,DAL,PF,1.5,0.6,0.2,0.1,2.5
475,Harry Giles,25,2TM,C,1.3,0.3,0.1,0.1,2.4
476,AJ Griffin,20,ATL,SF,0.9,0.3,0.1,0.1,2.4
477,Mouhamadou Gueye,25,TOR,PF,2.1,0.5,0.3,1.6,2.4
478,Joe Harris,32,DET,SG,0.8,0.6,0.2,0.1,2.4
479,Cory Joseph,32,GSW,PG,1.2,1.6,0.2,0.1,2.4
480,Xavier Moon,29,LAC,SG,1.3,1.5,0.2,0.2,2.4
481,Jamaree Bouyea,24,2TM,PG,2.1,1.2,0.1,0,2.3
482,Amari Bailey,19,CHO,PG,0.9,0.7,0.3,0,2.3
483,Isaiah Mobley,24,CLE,PF,1,0.6,0.2,0,2.3
484,Chuma Okeke,25,ORL,SF,1.7,0.4,0.2,0.1,2.3
485,Olivier Sarr,24,OKC,C,2.4,0.1,0,0.5,2.3
486,Dereon Seabron,23,NOP,SG,1.2,0.8,0.3,0.2,2.3
487,Cole Swider,24,MIA,SF,0.4,0.3,0.1,0.1,2.3
488,Udoka Azubuike,24,PHO,C,2,0.2,0.1,0.4,2.2
489,Reggie Bullock,32,HOU,SF,1.7,0.3,0.3,0.1,2.2
490,Trent Forrest,25,ATL,SG,1.3,2.4,0.3,0.1,2.2
491,Nate Hinton,24,HOU,SG,1.5,0.7,0.2,0.1,2.2
492,Andre Jackson Jr.,22,MIL,SG,2,0.9,0.3,0.1,2.2
493,Julian Phillips,20,CHI,SF,0.9,0.3,0.2,0.2,2.2
494,Ish Wainright,29,2TM,SF,1.3,0.1,0.4,0.1,2.1
495,Colby Jones,21,SAC,SG,1.3,0.7,0.2,0.2,2.1
496,Mamadi Diakite,27,2TM,PF,0.7,0.3,0.2,0.2,2
497,Kobe Brown,24,LAC,PF,1.4,0.6,0.3,0.1,2
498,JD Davison,21,BOS,SG,1.3,1.3,0.1,0.1,2
499,Jordan Ford,25,SAC,PG,0.3,0.3,0,0,2
500,Kevon Harris,26,ORL,SG,1,0.5,0,0,2
