Rank,Player,Age,Team,Pos,RBS,AST,STL,BLK,PTS
149,Malik Beasley,27,MIL,SG,3.7,1.4,0.7,0.1,11.3
150,Brandon Clarke,27,MEM,PF,5.3,1.5,0.8,1,11.3
151,Zach Collins,26,SAS,C,5.4,2.8,0.5,0.8,11.2
152,De'Anthony Melton,25,PHI,SG,3.7,3,1.6,0.4,11.1
153,Jakob Poeltl,28,TOR,C,8.6,2.5,0.7,1.5,11.1
154,Russell Westbrook,35,LAC,PG,5,4.5,1.1,0.3,11.1
155,Daniel Gafford,25,2TM,PF,7.6,1.6,0.9,2.1,11
156,Wendell Carter Jr.,24,ORL,C,6.9,1.7,0.6,0.5,11
157,Eric Gordon,35,PHO,SG,1.8,2,1,0.4,11
158,Herbert Jones,25,NOP,SF,3.6,2.6,1.4,0.8,11
159,Luke Kennard,27,MEM,SG,2.9,3.5,0.5,0.1,11
160,Luguentz Dort,24,OKC,SF,3.6,1.4,0.9,0.6,10.9
161,Jusuf Nurkić,29,PHO,C,11,4,1.1,1.1,10.9
162,Isaiah Stewart,22,DET,PF,6.6,1.6,0.4,0.8,10.9
163,Moritz Wagner,26,ORL,C,4.3,1.2,0.5,0.3,10.9
164,Bruce Brown,27,2TM,SG,4.2,2.9,0.9,0.3,10.8
165,Jake LaRavia,22,MEM,PF,3.7,1.7,0.8,0.3,10.8
166,Santi Aldama,23,MEM,PF,5.8,2.3,0.7,0.9,10.7
167,Simone Fontecchio,28,2TM,SF,3.7,1.5,0.7,0.3,10.5
168,Spencer Dinwiddie,30,2TM,PG,2.7,4.7,0.7,0.3,10.5
169,Jaden McDaniels,23,MIN,SF,3.1,1.4,0.9,0.6,10.5
170,Alec Burks,32,2TM,SG,2.3,1.3,0.4,0.2,10.4
171,Dalano Banton,24,2TM,PG,3.3,2.4,0.6,0.4,10.3
172,Grant Williams,25,2TM,PF,4.2,2.3,0.6,0.5,10.3
173,Obi Toppin,25,IND,PF,3.9,1.6,0.6,0.5,10.3
174,Kevin Huerter,25,SAC,SG,3.5,2.6,0.7,0.4,10.2
175,Reggie Jackson,33,DEN,PG,1.9,3.8,0.5,0.2,10.2
176,T.J. McConnell,31,IND,PG,2.7,5.5,1,0.1,10.2
177,Onyeka Okongwu,23,ATL,C,6.8,1.3,0.5,1.1,10.2
178,Kentavious Caldwell-Pope,30,DEN,SG,2.4,2.4,1.3,0.6,10.1
179,Alex Caruso,29,CHI,SG,3.8,3.5,1.7,1,10.1
180,Talen Horton-Tucker,23,UTA,PG,2.4,3.5,0.9,0.4,10.1
181,Tre Jones,24,SAS,PG,3.8,6.2,1,0.1,10
182,Caleb Martin,28,MIA,SF,4.4,2.2,0.7,0.5,10
183,Patrick Williams,22,CHI,PF,3.9,1.5,0.9,0.8,10
184,Vince Williams Jr.,23,MEM,SG,5.6,3.4,0.9,0.7,10
185,Josh Richardson,30,MIA,SG,2.8,2.4,0.6,0.3,9.9
186,Jalen Smith,23,IND,C,5.5,1,0.3,0.6,9.9
187,Gordon Hayward,33,2TM,SF,3.5,3.1,0.8,0.3,9.8
188,Kelly Olynyk,32,2TM,C,5.3,4.4,0.9,0.4,9.8
189,Tari Eason,22,HOU,PF,7,1.2,1.4,0.9,9.8
190,Nick Richards,26,CHO,C,8,0.8,0.4,1.1,9.7
191,Lonnie Walker IV,25,BRK,SG,2.2,1.3,0.6,0.3,9.7
192,Payton Pritchard,26,BOS,PG,3.2,3.4,0.5,0.1,9.6
193,Amen Thompson,21,HOU,SF,6.6,2.6,1.3,0.6,9.5
194,Josh Hart,28,NYK,SF,8.3,4.1,0.9,0.3,9.4
195,Georges Niang,30,CLE,PF,3.4,1.2,0.4,0.2,9.4
196,Isaac Okoro,23,CLE,SF,3,1.9,0.8,0.5,9.4
197,Tre Mann,22,2TM,PG,3.6,4,1.2,0.1,9.3
198,Malaki Branham,20,SAS,PG,2,2.1,0.4,0.1,9.2
199,Andrew Nembhard,24,IND,PG,2.1,4.1,0.9,0.1,9.2
200,Chris Paul,38,GSW,PG,3.9,6.8,1.2,0.1,9.2
201,Brandin Podziemski,20,GSW,SG,5.8,3.7,0.8,0.2,9.2
202,Duop Reath,27,POR,C,3.7,1,0.5,0.6,9.1
203,Sam Hauser,26,BOS,SF,3.5,1,0.5,0.3,9
204,Taurean Prince,29,LAL,PF,2.9,1.5,0.7,0.4,8.9
205,Jabari Walker,21,POR,SF,7.1,1,0.6,0.3,8.9
206,Dereck Lively II,19,DAL,C,6.9,1.1,0.7,1.4,8.8
207,Kevin Love,35,MIA,PF,6.1,2.1,0.3,0.2,8.8
208,Terance Mann,27,LAC,SG,3.4,1.6,0.6,0.2,8.8
209,Ausar Thompson,21,DET,SF,6.4,1.9,1.1,0.9,8.8
210,Draymond Green,33,GSW,PF,7.2,6,1,0.9,8.6
211,Al Horford,37,BOS,C,6.4,2.6,0.6,1,8.6
212,Derrick Jones Jr.,26,DAL,SF,3.3,1,0.7,0.7,8.6
213,Gradey Dick,20,TOR,SG,2.2,1.1,0.6,0,8.5
214,Dorian Finney-Smith,30,BRK,PF,4.7,1.6,0.8,0.6,8.5
215,Tristan Vukcevic,20,WAS,C,3.6,1.3,0.5,0.7,8.5
216,Bilal Coulibaly,19,WAS,SF,4.1,1.7,0.9,0.8,8.4
217,Andre Drummond,30,CHI,C,9,0.5,0.9,0.6,8.4
218,Miles McBride,23,NYK,PG,1.5,1.7,0.7,0.1,8.3
219,Marcus Sasser,23,DET,PG,1.8,3.3,0.6,0.2,8.3
220,Josh Green,23,DAL,SG,3.2,2.3,0.8,0.2,8.2
221,Isaiah Joe,24,OKC,SG,2.3,1.3,0.6,0.3,8.2
222,Ziaire Williams,22,MEM,SF,3.5,1.5,0.7,0.2,8.2
223,Kyle Lowry,37,2TM,PG,3.2,4.2,1,0.4,8.1
224,Walker Kessler,22,UTA,C,7.5,0.9,0.5,2.4,8.1
225,Moses Moody,21,GSW,SG,3,0.9,0.6,0.4,8.1
226,Nickeil Alexander-Walker,25,MIN,SG,2,2.5,0.8,0.5,8
227,Sam Merrill,27,CLE,SG,2,1.8,0.3,0.1,8
228,Derrick Rose,35,MEM,PG,1.9,3.3,0.3,0.1,8
229,Dario Šarić,29,GSW,C,4.4,2.3,0.5,0.2,8
230,Trayce Jackson-Davis,23,GSW,PF,5,1.2,0.4,1.1,7.9
231,Dante Exum,28,DAL,PG,2.7,2.9,0.4,0.1,7.8
232,Markelle Fultz,25,ORL,PG,3.2,2.8,1,0.3,7.8
233,Isaiah Hartenstein,25,NYK,C,8.3,2.5,1.2,1.1,7.8
234,Jordan Hawkins,21,NOP,SG,2.2,1,0.3,0.1,7.8
235,Royce O'Neale,30,2TM,SF,4.8,2.8,0.7,0.6,7.7
236,RaiQuan Gray,24,SAS,PF,2.3,2,0.3,0.3,7.7
237,Nikola Jović,20,MIA,PF,4.2,2,0.5,0.3,7.7
238,Precious Achiuwa,24,2TM,PF,6.6,1.3,0.6,0.9,7.6
239,Toumani Camara,23,POR,PF,4.9,1.2,0.9,0.5,7.5
240,Cody Martin,28,CHO,SF,3.9,3.7,1.1,0.6,7.5
241,Brice Sensabaugh,20,UTA,SF,3.2,1.7,0.4,0.2,7.5
242,Cameron Payne,29,2TM,PG,1.5,2.6,0.5,0.1,7.4
243,Christian Braun,22,DEN,SG,3.7,1.6,0.5,0.4,7.3
244,Jaden Hardy,21,DAL,SG,1.8,1.5,0.3,0.1,7.3
245,Taylor Hendricks,20,UTA,PF,4.6,0.8,0.7,0.8,7.3
246,Paul Reed,24,PHI,C,6,1.3,0.8,1,7.3
247,Lamar Stevens,26,2TM,PF,3.3,0.7,0.6,0.6,7.2
248,Johnny Juzang,22,UTA,SG,1.8,1.2,0.2,0.1,7.2
249,Kevin Knox,24,DET,SF,2.4,0.7,0.4,0.2,7.2
250,Trey Lyles,28,SAC,PF,4.4,1.2,0.3,0.3,7.2
251,Jose Alvarado,25,NOP,PG,2.3,2.1,1.1,0.3,7.1
252,Naji Marshall,26,NOP,SF,3.6,1.9,0.7,0.2,7.1
253,Landry Shamet,26,WAS,SG,1.3,1.2,0.5,0.2,7.1
254,James Wiseman,22,DET,C,5.3,0.9,0.2,0.6,7.1
255,Vasilije Micić,30,2TM,PG,1.5,4.4,0.5,0.1,7
256,Jordan Nwora,25,2TM,SF,2.9,1.2,0.5,0.3,7
257,Quentin Grimes,23,2TM,SG,2,1.3,0.7,0.1,7
258,Javon Freeman-Liberty,24,TOR,PG,3.2,1.8,0.5,0.2,7
259,Evan Fournier,31,2TM,SG,1.8,1.5,0.9,0.2,6.9
260,Gary Harris,29,ORL,SG,1.7,1.6,0.9,0.3,6.9
261,Killian Hayes,22,DET,PG,2.8,4.9,0.9,0.5,6.9
